473,405,506,387,1
535,545,516,411,1
613,352,529,379,1
451,355,502,379,1
539,222,517,357,0
414,259,496,363,0
625,348,530,378,1
556,264,520,363,0
597,604,527,422,1
488,537,508,410,1
530,146,515,342,0
471,577,505,417,1
497,660,509,433,0
493,253,509,362,0
569,607,522,423,1
562,569,520,415,1
431,309,499,372,0
434,227,499,357,0
468,225,505,357,0
597,264,527,363,0
614,231,529,358,0
426,241,498,360,0
528,235,515,359,0
516,149,513,343,0
433,358,499,380,0
590,339,525,376,0
603,475,527,399,1
464,585,504,418,1
596,192,526,351,0
619,309,530,371,0
