473,405,506,387,1
535,545,516,411,1
613,352,529,379,1
451,355,502,379,1
539,222,517,357,0
414,259,496,363,0
625,348,530,378,1
556,264,520,363,0
597,604,527,422,1
488,537,508,410,1
530,146,515,342,0
471,577,505,417,1
497,660,509,433,0
493,253,509,362,0
569,607,522,423,1
562,569,520,415,1
431,309,499,372,0
434,227,499,357,0
468,225,505,357,0
597,264,527,363,0
614,231,529,358,0
590,339,525,376,0
603,475,527,399,1
464,585,504,418,1
596,192,526,351,0
619,309,530,371,0
582,563,524,414,0
602,605,528,423,0
612,267,528,365,0
455,314,503,373,0
419,141,496,343,0
427,289,498,368,0
436,295,500,370,0
553,625,519,425,1
595,637,526,428,0
408,522,494,407,0
473,392,505,385,1
425,491,497,402,1
601,211,527,354,0
589,358,524,380,0
607,519,528,406,1
506,643,511,428,0
483,194,507,352,0
600,639,528,430,1
544,381,517,383,1
541,296,517,370,0
582,557,524,414,1
422,415,497,389,1
422,200,497,353,0
423,605,496,423,1
424,301,498,370,0
624,461,530,396,1
418,297,497,370,0
533,272,515,365,0
488,530,508,408,1
596,496,526,402,0
550,736,518,445,0
510,257,512,363,0
494,391,509,385,1
457,340,503,377,1
618,460,530,397,1
527,394,514,385,1
510,512,512,405,1
453,407,502,388,1
550,467,518,398,1
519,623,513,425,1
556,138,520,341,0
457,491,503,402,1
444,517,501,406,1
489,603,508,422,1
492,471,509,398,1
512,575,512,416,1
456,142,503,341,0
567,207,521,355,0
421,539,497,410,1
465,616,504,424,1
429,631,497,427,0
592,115,527,336,0
550,141,519,342,0
417,517,496,406,0
577,596,522,420,0
607,591,528,420,1
451,283,502,367,0
551,479,518,399,1
473,270,506,365,0
456,554,503,412,1
417,163,496,346,0
453,192,502,351,0
547,404,517,387,1
558,617,520,423,1
563,540,520,410,1
573,495,522,403,0
426,195,497,351,0
534,589,516,419,1
456,360,503,380,1
498,569,510,415,1
423,659,495,434,0
426,370,498,382,0
568,660,522,433,0
402,444,494,394,1
545,152,518,344,0
498,475,510,398,1
502,501,510,404,1
457,431,503,392,1
418,300,497,370,0
596,486,526,401,0
467,368,505,381,1
547,636,518,429,0
425,229,498,359,0
538,251,516,362,0
503,631,510,428,1
616,465,529,397,1
484,550,507,412,1
504,535,511,410,1
522,633,514,428,1
460,298,503,370,0
587,520,524,406,0
483,477,507,399,1
585,189,524,351,0
444,194,500,351,0
421,642,496,431,1
430,609,498,423,0
558,400,519,387,1
542,135,517,341,0
601,227,527,358,0
447,655,500,431,0
531,545,515,411,1
428,495,498,402,1
464,142,504,342,0
518,190,513,351,0
457,224,503,357,0
569,605,522,422,0
447,588,501,418,1
560,373,519,382,1
540,471,516,398,1
532,576,516,417,1
431,315,499,373,0
550,408,519,387,1
498,252,510,362,0
458,414,503,389,1
516,315,512,373,0
467,539,505,409,1
577,604,523,421,1
554,129,520,339,0
581,610,524,423,0
599,453,526,395,1
479,369,507,382,1
442,234,500,359,0
560,590,520,420,1
474,450,506,395,1
550,425,518,391,1
446,357,501,380,0
573,565,522,414,1
469,534,505,408,1
